Nº;Nome;Apelido;Arquivo;Disciplinas;;;;;;;;;;;;;;
1;1ª Série A;1º A;1A;PORT;INGLÊS;ARTE;ED. FÍS;GEO;HIST;BIO;FÍS;MAT;QUÍ;FILO;PV;ED. FIN;RL;TEC
2;1ª Série B;1º B;1B;PORT;INGLÊS;ARTE;ED. FÍS;GEO;HIST;BIO;FÍS;MAT;QUÍ;FILO;PV;ED. FIN;RL;TEC
3;1ª Série C;1º C;1C;PORT;INGLÊS;ARTE;ED. FÍS;GEO;HIST;BIO;FÍS;MAT;QUÍ;FILO;PV;ED. FIN;RL;TEC
4;1ª Série D;1º D;1D;PORT;INGLÊS;ARTE;ED. FÍS;GEO;HIST;BIO;FÍS;MAT;QUÍ;FILO;PV;ED. FIN;RL;TEC
5;1ª Série E;1º E;1E;PORT;INGLÊS;ARTE;ED. FÍS;GEO;HIST;BIO;FÍS;MAT;QUÍ;FILO;PV;ED. FIN;RL;TEC
6;1ª Série F;1º F;1F;PORT;INGLÊS;ARTE;ED. FÍS;GEO;HIST;BIO;FÍS;MAT;QUÍ;FILO;PV;ED. FIN;RL;TEC
7;2ª Série A;2º A;2A;PORT;INGLÊS;ED. FÍS;GEO;HIST;SOCIO;BIO;FÍS;MAT;QUÍ;PV;ED. FIN;RL;;
8;Não Seriado 2A;Não Seriado 2A (2º A);NS2A;ARTE;LIDERANÇA;ORATÓRIA;FILOSOFIA;;;;;;;;;;;
9;2ª Série B;2º B;2B;PORT;INGLÊS;ED. FÍS;GEO;HIST;SOCIO;BIO;FÍS;MAT;QUÍ;PV;ED. FIN;RL;;
10;Não Seriado 2B;Não Seriado 2B (2º B);NS2B;ARTE;LIDERANÇA;ORATÓRIA;FILOSOFIA;;;;;;;;;;;
11;2ª Série C;2º C;2C;PORT;INGLÊS;ED. FÍS;GEO;HIST;SOCIO;BIO;FÍS;MAT;QUÍ;PV;ED. FIN;RL;;
12;Não Seriado 2C;Não Seriado 2C (2º C);NS2C;TECNOLOGIA;EMPREENDEDORISMO;BIOTECNOLOGIA;;;;;;;;;;;;
13;2ª Série D;2º D;2D;PORT;INGLÊS;ED. FÍS;GEO;HIST;SOCIO;BIO;FÍS;MAT;QUÍ;PV;ED. FIN;RL;;
14;Não Seriado 2D;Não Seriado 2D (2º D);NS2D;ARTE;LIDERANÇA;ORATÓRIA;FILOSOFIA;;;;;;;;;;;
15;2ª Série E;2º E;2E;PORT;INGLÊS;ED. FÍS;GEO;HIST;SOCIO;BIO;FÍS;MAT;QUÍ;PV;ED. FIN;RL;;
16;Não Seriado 2E;Não Seriado 2E (2º E);NS2E;TECNOLOGIA;EMPREENDEDORISMO;BIOTECNOLOGIA;;;;;;;;;;;;
17;2ª Série AD;2º AD (FGB);2AD;PORT;ED. FÍS;GEO;HIST;SOCIO;BIO;FÍS;MAT;QUÍ;ED. FIN;;;;;
18;2ª Série AD;2º AD (TEC);T2AD;INTR À ADM;COMUNICAÇÃO EMPR;MAT APLICADA;CARREIRA E COMP;;;;;;;;;;;
19;3ª Série A;3º A;3A;PORT;INGLÊS;ED. FÍS;GEO;HIST;FÍS;MAT;PV;ED. FIN;RL;APV;;;;
20;Não Seriado 3A;Não Seriado 3A (3º A);NS3A;ARTE;LIDERANÇA;ORATÓRIA;FILOSOFIA;GEOPOLÍTICA;;;;;;;;;;
21;3ª Série B;3º B;3B;PORT;INGLÊS;ED. FÍS;GEO;HIST;FÍS;MAT;PV;ED. FIN;RL;APV;;;;
22;Não Seriado 3B;Não Seriado 3B (3º B);NS3B;ARTE;LIDERANÇA;ORATÓRIA;FILOSOFIA;GEOPOLÍTICA;;;;;;;;;;
23;3ª Série C;3º C;3C;PORT;INGLÊS;ED. FÍS;GEO;HIST;FÍS;MAT;PV;ED. FIN;RL;APV;;;;
24;Não Seriado 3C;Não Seriado 3C (3º C);NS3C;ARTE;LIDERANÇA;ORATÓRIA;FILOSOFIA;GEOPOLÍTICA;;;;;;;;;;
25;3ª Série D;3º D;3D;PORT;INGLÊS;ED. FÍS;GEO;HIST;FÍS;MAT;PV;ED. FIN;RL;APV;;;;
26;Não Seriado 3D;Não Seriado 3D (3º D);NS3D;TECNOLOGIA;EMPREENDEDORISMO;BIOTECNOLOGIA;QUÍMICA AP;;;;;;;;;;;
27;3ª Série E;3º E;3E;PORT;INGLÊS;ED. FÍS;GEO;HIST;FÍS;MAT;PV;ED. FIN;RL;APV;;;;
28;Não Seriado 3E;Não Seriado 3E (3º E);NS3E;ARTE;LIDERANÇA;ORATÓRIA;FILOSOFIA;GEOPOLÍTICA;;;;;;;;;;
29;3ª Série F;3º F;3F;PORT;INGLÊS;ED. FÍS;GEO;HIST;FÍS;MAT;PV;ED. FIN;RL;APV;;;;
30;Não Seriado 3F;Não Seriado 3F (3º F);NS3F;TECNOLOGIA;EMPREENDEDORISMO;BIOTECNOLOGIA;QUÍMICA AP;;;;;;;;;;;
